Country,Year,Inbound Country,Inbound Visitors,Outbound Country,Outbound Visitors,Distance,Cultural,Government_prioritization,Segurity_homocide,Segurity_terrorism,Natural_resources,Price_competitiveness,Service_infrastructure,Visa_requirements,Inbound Visitors Predict
Australia,2018,China,1421.6,New Zealand,1419.0,5.332108034616539,4.379571728697845,5.8968997,0.06593037322706664,6.954147186279297,5.502130984129084,4.434409659386581,6.055062862467841,3.5026269702276704,0.0
Australia,2018,New Zealand,1419.0,Indonesia,1210.8,5.929338849995472,4.379571728697845,5.8968997,0.06593037322706664,6.954147186279297,5.502130984129084,4.434409659386581,6.055062862467841,3.5026269702276704,0.0
Australia,2018,United States,1084.2,United States,1084.2,1.0929485469145526,4.379571728697845,5.8968997,0.06593037322706664,6.954147186279297,5.502130984129084,4.434409659386581,6.055062862467841,3.5026269702276704,0.0
Australia,2018,United Kingdom,643.7,United Kingdom,643.7,3.0554364024081853,4.379571728697845,5.8968997,0.06593037322706664,6.954147186279297,5.502130984129084,4.434409659386581,6.055062862467841,3.5026269702276704,0.0
Australia,2018,Japan,442.3,Thailand,581.4,5.488651874086353,4.379571728697845,5.8968997,0.06593037322706664,6.954147186279297,5.502130984129084,4.434409659386581,6.055062862467841,3.5026269702276704,0.0
Austria,2018,Germany,2196.115,Italy,2330.031,6.889790937121886,3.1525678041614444,5.883769512,0.045899800340313546,6.99258056640625,4.142485905247846,4.691823448774155,6.659389401732668,1.681260945709282,2456.7
Austria,2018,Netherlands,2001.096,Germany,2196.115,6.768576188055688,3.1525678041614444,5.883769512,0.045899800340313546,6.99258056640625,4.142485905247846,4.691823448774155,6.659389401732668,1.681260945709282,2384.4
Austria,2018,Italy,2330.031,Spain,615.238,6.877451471563594,3.1525678041614444,5.883769512,0.045899800340313546,6.99258056640625,4.142485905247846,4.691823448774155,6.659389401732668,1.681260945709282,2449.3
Austria,2018,United Kingdom,995.677,Greece,420.064,6.536941193542113,3.1525678041614444,5.883769512,0.045899800340313546,6.99258056640625,4.142485905247846,4.691823448774155,6.659389401732668,1.681260945709282,2246.3
Colombia,2018,United States,1383.457,United States,1383.457,6.055165822194607,3.17533214726884,4.43853569,1.7866428124824947,6.134347839355469,4.446235129638365,5.783300564176069,3.8196719037256144,4.6234676007005255,0.0
Colombia,2018,Venezuela,164.555,Spain,426.751,6.828925788501259,3.17533214726884,4.43853569,1.7866428124824947,6.134347839355469,4.446235129638365,5.783300564176069,3.8196719037256144,4.6234676007005255,0.0
Colombia,2018,Argentina,197.707,Panama,403.586,5.921515367217436,3.17533214726884,4.43853569,1.7866428124824947,6.134347839355469,4.446235129638365,5.783300564176069,3.8196719037256144,4.6234676007005255,0.0
Colombia,2018,Brazil,196.829,Ecuador,299.704,6.297481256569474,3.17533214726884,4.43853569,1.7866428124824947,6.134347839355469,4.446235129638365,5.783300564176069,3.8196719037256144,4.6234676007005255,0.0
Colombia,2018,Ecuador,299.704,Venezuela,164.555,6.839853611380306,3.17533214726884,4.43853569,1.7866428124824947,6.134347839355469,4.446235129638365,5.783300564176069,3.8196719037256144,4.6234676007005255,0.0
Costa Rica,2018,United States,250.75,Central America,583.08,6.28210226869675,1.6158796302812934,6.016098976,0.8339741929623655,7.0,4.859704919894979,5.097589252310691,5.365524314731474,2.031523642732049,1687.1
